pasma,mesto,skupina,min_starost,max_starost,min_visina,max_visina,min_teza,max_teza,nega,hitrost_ucenja,temperament,opis
Pekingese,92,Toy,12,14,6,9,,,2-3 Times a Week Brushing,May be Stubborn,Reserved with Strangers,"The Pekingese is a well-balanced, compact dog of Chinese origin with a heavy front and lighter hindquarters. Its temperament is one of directness, independence and individuality. Its image is lionlike, implying courage, dignity, boldness and self-esteem rather than daintiness or delicacy."

Leonberger,93,Working,,,26.5,30.0,100.0,155.0,Daily Brushing,Eager to Please,Friendly,"Don&#8217;t let his size and lion-like looks fool you; the Leonberger is a big bundle of love. Bred as farm dogs and family companions, Leonbergers are eager to please and, with their love of children, are wonderful family dogs. Because they respond so well to training, they also make excellent therapy dogs. Leonberger puppies grow up to be surprisingly graceful adult dogs, who will appreciate moderate exercise and some regular training. They are shedders, so you&#8217;ll want to brush that double coat regularly."

English Setter,94,Sporting,,,24.0,26.0,55.0,67.5,2-3 Times a Week Brushing,Easy Training,Friendly,"An elegant, substantial and symmetrical gun dog suggesting the ideal blend of strength, stamina, grace, and style. Flat-coated with feathering of good length. Gaiting freely and smoothly with long forward reach, strong rear drive and firm topline. Males decidedly masculine without coarseness. Females decidedly feminine without over-refinement. Overall appearance, balance, gait, and purpose to be given more emphasis than any component part. Above all, extremes of anything distort type and must be faulted."

Keeshond,95,Non-Sporting,12,15,,,35,45,2-3 Times a Week Brushing,Easy Training,Friendly,"The Keeshond (pronounced kayz-hawnd) is a natural, handsome dog of well-balanced, short-coupled body, attracting attention not only by his coloration, alert carriage, and intelligent expression, but also by his stand-off coat, his richly plumed tail well curled over his back, his foxlike expression, and his small pointed ears. His coat is very thick around the neck, fore part of the shoulders and chest, forming a lion-like ruff-more profuse in the male. His rump and hind legs, down to the hocks, are also thickly coated, forming the characteristic &#8220;trousers.&#8221; His head, ears, and lower legs are covered with thick, short hair."

Tibetan Terrier,96,Non-Sporting,15,16,14,17,,,2-3 Times a Week Brushing,Independent,Reserved with Strangers,"The Tibetan Terrier is a medium-sized dog, profusely coated, of powerful build, and square in proportion. A fall of hair covers the eyes and foreface. The well-feathered tail curls up and falls forward over the back. The feet are large, flat, and round in shape producing a snowshoe effect that provides traction. The Tibetan Terrier is well balanced and capable of both strong and efficient movement. The Tibetan Terrier is shown as naturally as possible."

Norwegian Elkhound,97,Hound,12,15,,,,,Weekly Brushing,Agreeable,Friendly,"The Norwegian Elkhound is a hardy gray hunting dog. In appearance, a typical northern dog of medium size and substance, square in profile, close coupled and balanced in proportions. The head is broad with prick ears, and the tail is tightly curled and carried over the back. The distinctive gray coat is dense and smooth lying. As a hunter, the Norwegian Elkhound has the courage, agility and stamina to hold moose and other big game at bay by barking and dodging attack, and the endurance to track for long hours in all weather over rough and varied terrain."

Brussels Griffon,98,Toy,12,15,7,10,8,10,2-3 Times a Week Brushing,Agreeable,Friendly,"A toy dog, intelligent, alert, sturdy, with a thickset, short body, a smart carriage and set-up, attracting attention by an almost human expression. There are two distinct types of coat: rough or smooth. Except for coat, there is no difference between the two."

Lagotto Romagnolo,99,Sporting,15,17,16.5,18.5,26.0,33.0,Occasional Bath/Brush,Eager to Please,Alert/Responsive,"Small to medium-sized dog, well proportioned, powerfully built, of a rustic appearance, with a dense, curly coat of woolly texture. The dog should give the impression that he has the strength and endurance to work all day in difficult and challenging terrain."

